Player,Hero,Round,Opponent,Opponent Hero,Result
Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Round 1,Mihai Zorila,"Cindra, Dracai of Retribution",Win
Mihai Zorila,"Cindra, Dracai of Retribution",Round 1,Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Loss
Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Round 1,Matthias Verbeeck,"Florian, Rotwood Harbinger",Win
Matthias Verbeeck,"Florian, Rotwood Harbinger",Round 1,Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Loss
Adriano Izzi,"Prism, Awakener of Sol",Round 1,Maniša Njegomir,"Kano, Dracai of Aether",Win
Maniša Njegomir,"Kano, Dracai of Aether",Round 1,Adriano Izzi,"Prism, Awakener of Sol",Loss
Pierantonio Ostuni,"Cindra, Dracai of Retribution",Round 1,Tom Escoffier,"Arakni, Marionette",Win
Tom Escoffier,"Arakni, Marionette",Round 1,Pierantonio Ostuni,"Cindra, Dracai of Retribution",Loss
Michal Cwik,"Levia, Shadowborn Abomination",Round 1,Andrea Nicastro,"Kano, Dracai of Aether",Win
Andrea Nicastro,"Kano, Dracai of Aether",Round 1,Michal Cwik,"Levia, Shadowborn Abomination",Loss
Ivaylo Ivanov,"Azalea, Ace in the Hole",Round 1,Mateusz Sass,"Victor Goldmane, High and Mighty",Loss
Mateusz Sass,"Victor Goldmane, High and Mighty",Round 1,Ivaylo Ivanov,"Azalea, Ace in the Hole",Win
Massimo D'Amato,"Florian, Rotwood Harbinger",Round 1,Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Loss
Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Round 1,Massimo D'Amato,"Florian, Rotwood Harbinger",Win
Pietro Motta,"Puffin, Hightail",Round 1,Daniele Coppola,"Cindra, Dracai of Retribution",Loss
Daniele Coppola,"Cindra, Dracai of Retribution",Round 1,Pietro Motta,"Puffin, Hightail",Win
Vincent Weinzierl,Kassai of the Golden Sand,Round 1,Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Loss
Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Round 1,Vincent Weinzierl,Kassai of the Golden Sand,Win
Patrycjusz Janas,Jarl Vetreiði,Round 1,Lewis Miller,"Verdance, Thorn of the Rose",Loss
Lewis Miller,"Verdance, Thorn of the Rose",Round 1,Patrycjusz Janas,Jarl Vetreiði,Win
Bartosz Dominiak,"Verdance, Thorn of the Rose",Round 1,Paul Crame,"Azalea, Ace in the Hole",Loss
Paul Crame,"Azalea, Ace in the Hole",Round 1,Bartosz Dominiak,"Verdance, Thorn of the Rose",Win
filippo pirazzoli,"Cindra, Dracai of Retribution",Round 1,Mathias W,"Vynnset, Iron Maiden",Loss
Mathias W,"Vynnset, Iron Maiden",Round 1,filippo pirazzoli,"Cindra, Dracai of Retribution",Win
Tomasz Zalejski,Kassai of the Golden Sand,Round 1,Tim Sofsky,"Prism, Awakener of Sol",Win
Tim Sofsky,"Prism, Awakener of Sol",Round 1,Tomasz Zalejski,Kassai of the Golden Sand,Loss
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 1,Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Win
Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Round 1,Tommaso Fabbri,"Azalea, Ace in the Hole",Loss
Nathanaël frederic,"Azalea, Ace in the Hole",Round 1,Nikos Tavoulareas,"Florian, Rotwood Harbinger",Loss
Nikos Tavoulareas,"Florian, Rotwood Harbinger",Round 1,Nathanaël frederic,"Azalea, Ace in the Hole",Win
Victor Lenoble,"Kayo, Armed and Dangerous",Round 1,Giannis Koumidis,"Nuu, Alluring Desire",Loss
Giannis Koumidis,"Nuu, Alluring Desire",Round 1,Victor Lenoble,"Kayo, Armed and Dangerous",Win
Maximilian Reichl,"Arakni, Marionette",Round 1,Angelo Zaccardi,"Cindra, Dracai of Retribution",Loss
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 1,Maximilian Reichl,"Arakni, Marionette",Win
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 1,Adrien Krifa,"Cindra, Dracai of Retribution",Loss
Adrien Krifa,"Cindra, Dracai of Retribution",Round 1,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Win
Kaloyan Nikov,Dash I/O,Round 1,Danny Halstad,"Puffin, Hightail",Win
Danny Halstad,"Puffin, Hightail",Round 1,Kaloyan Nikov,Dash I/O,Loss
Andreas Capsalis,"Cindra, Dracai of Retribution",Round 1,Davide Ierardi,"Marlynn, Treasure Hunter",Win
Davide Ierardi,"Marlynn, Treasure Hunter",Round 1,Andreas Capsalis,"Cindra, Dracai of Retribution",Loss
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 1,Nicolò Valenzano,"Azalea, Ace in the Hole",Win
Nicolò Valenzano,"Azalea, Ace in the Hole",Round 1,Michał Rzepczyński,"Azalea, Ace in the Hole",Loss
Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Round 1,riccardo battaglia,"Verdance, Thorn of the Rose",Win
riccardo battaglia,"Verdance, Thorn of the Rose",Round 1,Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Loss
Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Round 1,Vlad Margarit,Jarl Vetreiði,Loss
Vlad Margarit,Jarl Vetreiði,Round 1,Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Loss
Andrei Sebastian Suciu,"Arakni, Marionette",Round 1,Morris Prem,"Arakni, Marionette",Win
Morris Prem,"Arakni, Marionette",Round 1,Andrei Sebastian Suciu,"Arakni, Marionette",Loss
Alessandro Sgura,"Vynnset, Iron Maiden",Round 1,David Luckey,"Azalea, Ace in the Hole",Loss
David Luckey,"Azalea, Ace in the Hole",Round 1,Alessandro Sgura,"Vynnset, Iron Maiden",Win
Alessio Bouko,"Puffin, Hightail",Round 1,Jari Vincke,"Verdance, Thorn of the Rose",Loss
Jari Vincke,"Verdance, Thorn of the Rose",Round 1,Alessio Bouko,"Puffin, Hightail",Win
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 1,Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Win
Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Round 1,Alessandro Tassini,"Florian, Rotwood Harbinger",Win
Alessandro Tassini,"Florian, Rotwood Harbinger",Round 1,Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Loss
Bottino Valerio,"Prism, Awakener of Sol",Round 1,Sammy Weckx,"Prism, Awakener of Sol",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 1,Bottino Valerio,"Prism, Awakener of Sol",Win
Andrea Pizzetti,"Oscilio, Constella Intelligence",Round 1,Matthew Brown,"Fang, Dracai of Blades",Win
Matthew Brown,"Fang, Dracai of Blades",Round 1,Andrea Pizzetti,"Oscilio, Constella Intelligence",Loss
Michael Feng,"Nuu, Alluring Desire",Round 1,Michał Zalejski,"Florian, Rotwood Harbinger",Loss
Michał Zalejski,"Florian, Rotwood Harbinger",Round 1,Michael Feng,"Nuu, Alluring Desire",Win
Victor Sanchez,"Riptide, Lurker of the Deep",Round 1,Gints Dreimanis,"Arakni, Marionette",Loss
Gints Dreimanis,"Arakni, Marionette",Round 1,Victor Sanchez,"Riptide, Lurker of the Deep",Win
Marcel Harz,"Prism, Awakener of Sol",Round 1,Sergio Amigo,"Nuu, Alluring Desire",Win
Sergio Amigo,"Nuu, Alluring Desire",Round 1,Marcel Harz,"Prism, Awakener of Sol",Loss
Guillermo Revilla,"Arakni, Marionette",Round 1,Kacper Mocek,"Ira, Scarlet Revenger",Loss
Kacper Mocek,"Ira, Scarlet Revenger",Round 1,Guillermo Revilla,"Arakni, Marionette",Win
Massimiliano Messina,"Fang, Dracai of Blades",Round 1,Nico Schleier,"Arakni, Marionette",Loss
Nico Schleier,"Arakni, Marionette",Round 1,Massimiliano Messina,"Fang, Dracai of Blades",Win
Michael Wachouschek,Dash I/O,Round 1,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Win
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 1,Michael Wachouschek,Dash I/O,Loss
"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Round 1,Simone Pirota,"Azalea, Ace in the Hole",Loss
Simone Pirota,"Azalea, Ace in the Hole",Round 1,"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Win
Lorenzo Latino,"Victor Goldmane, High and Mighty",Round 1,Matteo Lista,"Oscilio, Constella Intelligence",Win
Matteo Lista,"Oscilio, Constella Intelligence",Round 1,Lorenzo Latino,"Victor Goldmane, High and Mighty",Loss
Gregory Patellis,"Prism, Awakener of Sol",Round 1,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Loss
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 1,Gregory Patellis,"Prism, Awakener of Sol",Win
Sebastian Linn,"Verdance, Thorn of the Rose",Round 1,Daniele Frattarelli,"Florian, Rotwood Harbinger",Win
Daniele Frattarelli,"Florian, Rotwood Harbinger",Round 1,Sebastian Linn,"Verdance, Thorn of the Rose",Loss
Xavier Mudry,"Oscilio, Constella Intelligence",Round 1,Roy Sammour,"Oscilio, Constella Intelligence",Loss
Roy Sammour,"Oscilio, Constella Intelligence",Round 1,Xavier Mudry,"Oscilio, Constella Intelligence",Win
CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Round 1,Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Win
Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Round 1,CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Loss
Pierre-Yves Garcia,"Ira, Scarlet Revenger",Round 1,Theofrastos Matakoulias,"Puffin, Hightail",Loss
Theofrastos Matakoulias,"Puffin, Hightail",Round 1,Pierre-Yves Garcia,"Ira, Scarlet Revenger",Win
Jean Luka Zorko,"Prism, Awakener of Sol",Round 1,Isidoros Popovits,"Azalea, Ace in the Hole",Win
Isidoros Popovits,"Azalea, Ace in the Hole",Round 1,Jean Luka Zorko,"Prism, Awakener of Sol",Loss
Virginia Rosenberg,"Fang, Dracai of Blades",Round 1,Adrien Druart,"Nuu, Alluring Desire",Win
Adrien Druart,"Nuu, Alluring Desire",Round 1,Virginia Rosenberg,"Fang, Dracai of Blades",Loss
Sebastian Niedzielec,Dorinthea Ironsong,Round 1,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Win
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 1,Sebastian Niedzielec,Dorinthea Ironsong,Loss
Faustin Falissard,Jarl Vetreiði,Round 1,Bartosz Dobrowolski,"Arakni, Marionette",Win
Bartosz Dobrowolski,"Arakni, Marionette",Round 1,Faustin Falissard,Jarl Vetreiði,Loss
Edoardo Galli,"Nuu, Alluring Desire",Round 1,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Loss
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 1,Edoardo Galli,"Nuu, Alluring Desire",Win
Jakub Mares,"Gravy Bones, Shipwrecked Looter",Round 1,Gabriel Zugna,Kassai of the Golden Sand,Loss
Gabriel Zugna,Kassai of the Golden Sand,Round 1,Jakub Mares,"Gravy Bones, Shipwrecked Looter",Win
Tilen Blazinšek,"Nuu, Alluring Desire",Round 1,Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Loss
Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Round 1,Tilen Blazinšek,"Nuu, Alluring Desire",Win
Ian Zhang,"Nuu, Alluring Desire",Round 1,Iason Kouvakas,"Florian, Rotwood Harbinger",Loss
Iason Kouvakas,"Florian, Rotwood Harbinger",Round 1,Ian Zhang,"Nuu, Alluring Desire",Win
Adam Tuček,"Nuu, Alluring Desire",Round 1,Adrian Słowiński,"Azalea, Ace in the Hole",Win
Adrian Słowiński,"Azalea, Ace in the Hole",Round 1,Adam Tuček,"Nuu, Alluring Desire",Loss
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 1,Edoardo La Rosa,"Vynnset, Iron Maiden",Loss
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 1,Aurelien Souchet,"Verdance, Thorn of the Rose",Win
Giuseppe Cervone,"Florian, Rotwood Harbinger",Round 1,Jakub Koenner,"Prism, Awakener of Sol",Win
Jakub Koenner,"Prism, Awakener of Sol",Round 1,Giuseppe Cervone,"Florian, Rotwood Harbinger",Loss
Tiziano Suran,"Azalea, Ace in the Hole",Round 1,Tore Eskeland,"Florian, Rotwood Harbinger",Win
Tore Eskeland,"Florian, Rotwood Harbinger",Round 1,Tiziano Suran,"Azalea, Ace in the Hole",Loss
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Finlay Freir,"Vynnset, Iron Maiden",Loss
Finlay Freir,"Vynnset, Iron Maiden",Round 1,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Simone Sieli,"Azalea, Ace in the Hole",Round 1,Tiziano Biagetti,"Florian, Rotwood Harbinger",Loss
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 1,Simone Sieli,"Azalea, Ace in the Hole",Win
Adrián Marín,"Florian, Rotwood Harbinger",Round 1,Michaele Teppa,"Nuu, Alluring Desire",Loss
Michaele Teppa,"Nuu, Alluring Desire",Round 1,Adrián Marín,"Florian, Rotwood Harbinger",Win
Marc Germond,"Ira, Scarlet Revenger",Round 1,None,,Win
None,,Round 1,Marc Germond,"Ira, Scarlet Revenger",Loss
Marc Germond,"Ira, Scarlet Revenger",Round 2,Gilles Molina,"Prism, Awakener of Sol",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 2,Marc Germond,"Ira, Scarlet Revenger",Win
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 2,Kevin Steiger,"Azalea, Ace in the Hole",Loss
Kevin Steiger,"Azalea, Ace in the Hole",Round 2,Tiziano Biagetti,"Florian, Rotwood Harbinger",Win
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 2,Michal Cwik,"Levia, Shadowborn Abomination",Win
Michal Cwik,"Levia, Shadowborn Abomination",Round 2,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Björn DHOOGHE,"Katsu, the Wanderer",Round 2,Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Loss
Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Round 2,Björn DHOOGHE,"Katsu, the Wanderer",Win
Andrea Tosi,"Florian, Rotwood Harbinger",Round 2,Marcello Mutalipassi,"Arakni, Marionette",Win
Marcello Mutalipassi,"Arakni, Marionette",Round 2,Andrea Tosi,"Florian, Rotwood Harbinger",Loss
Maximilian Schmidt,"Verdance, Thorn of the Rose",Round 2,Francesco D'Amendola,"Kayo, Armed and Dangerous",Win
Francesco D'Amendola,"Kayo, Armed and Dangerous",Round 2,Maximilian Schmidt,"Verdance, Thorn of the Rose",Loss
Grégory Lefebvre,"Oscilio, Constella Intelligence",Round 2,Daniele Coppola,"Cindra, Dracai of Retribution",Loss
Daniele Coppola,"Cindra, Dracai of Retribution",Round 2,Grégory Lefebvre,"Oscilio, Constella Intelligence",Win
Maurice Hostettler,"Azalea, Ace in the Hole",Round 2,Gints Dreimanis,"Arakni, Marionette",Win
Gints Dreimanis,"Arakni, Marionette",Round 2,Maurice Hostettler,"Azalea, Ace in the Hole",Loss
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 2,Sammy Weckx,"Prism, Awakener of Sol",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 2,Brent Van de Staey,"Cindra, Dracai of Retribution",Win
Jean Luka Zorko,"Prism, Awakener of Sol",Round 2,Panagiotis Pavlou,"Prism, Awakener of Sol",Win
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 2,Jean Luka Zorko,"Prism, Awakener of Sol",Loss
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 2,Ruben Exposito,"Kano, Dracai of Aether",Loss
Ruben Exposito,"Kano, Dracai of Aether",Round 2,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Win
Léo Baty,Kassai of the Golden Sand,Round 2,Francesco Fiumanò,"Cindra, Dracai of Retribution",Win
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 2,Léo Baty,Kassai of the Golden Sand,Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 2,Felix Krisch,"Levia, Shadowborn Abomination",Win
Felix Krisch,"Levia, Shadowborn Abomination",Round 2,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Bartosz Ziemba,"Verdance, Thorn of the Rose",Round 2,Alex Kondov,"Prism, Awakener of Sol",Win
Alex Kondov,"Prism, Awakener of Sol",Round 2,Bartosz Ziemba,"Verdance, Thorn of the Rose",Loss
Pierantonio Ostuni,"Cindra, Dracai of Retribution",Round 2,Gary White,"Kano, Dracai of Aether",Loss
Gary White,"Kano, Dracai of Aether",Round 2,Pierantonio Ostuni,"Cindra, Dracai of Retribution",Win
Daniel Li,"Cindra, Dracai of Retribution",Round 2,David Luckey,"Azalea, Ace in the Hole",Win
David Luckey,"Azalea, Ace in the Hole",Round 2,Daniel Li,"Cindra, Dracai of Retribution",Loss
Vasil Popov,"Arakni, Marionette",Round 2,Enki Dupaquier,Kassai of the Golden Sand,Win
Enki Dupaquier,Kassai of the Golden Sand,Round 2,Vasil Popov,"Arakni, Marionette",Loss
Mert Gezgin,"Oscilio, Constella Intelligence",Round 2,Daniel Correas,"Azalea, Ace in the Hole",Loss
Daniel Correas,"Azalea, Ace in the Hole",Round 2,Mert Gezgin,"Oscilio, Constella Intelligence",Win
Roman Legíň,"Florian, Rotwood Harbinger",Round 2,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Win
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 2,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Anton Cid Mejias,"Arakni, Marionette",Round 2,Michał Biereg,"Verdance, Thorn of the Rose",Win
Michał Biereg,"Verdance, Thorn of the Rose",Round 2,Anton Cid Mejias,"Arakni, Marionette",Loss
Florian Schmidt,"Prism, Awakener of Sol",Round 2,Nico Schleier,"Arakni, Marionette",Win
Nico Schleier,"Arakni, Marionette",Round 2,Florian Schmidt,"Prism, Awakener of Sol",Loss
Kaloyan Nikov,Dash I/O,Round 2,Tim Heibrok,"Florian, Rotwood Harbinger",Loss
Tim Heibrok,"Florian, Rotwood Harbinger",Round 2,Kaloyan Nikov,Dash I/O,Win
Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Round 2,Paul van Gijssel,"Azalea, Ace in the Hole",Win
Paul van Gijssel,"Azalea, Ace in the Hole",Round 2,Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Loss
Thomas Harle,"Gravy Bones, Shipwrecked Looter",Round 2,John Kitsos,"Florian, Rotwood Harbinger",Win
John Kitsos,"Florian, Rotwood Harbinger",Round 2,Thomas Harle,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 2,George Jones,"Nuu, Alluring Desire",Win
George Jones,"Nuu, Alluring Desire",Round 2,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 2,Brian Fusciani,Dorinthea Ironsong,Win
Brian Fusciani,Dorinthea Ironsong,Round 2,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Loss
Nikos Tavoulareas,"Florian, Rotwood Harbinger",Round 2,David Gómez,"Verdance, Thorn of the Rose",Loss
David Gómez,"Verdance, Thorn of the Rose",Round 2,Nikos Tavoulareas,"Florian, Rotwood Harbinger",Win
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 2,Michał Zalejski,"Florian, Rotwood Harbinger",Win
Michał Zalejski,"Florian, Rotwood Harbinger",Round 2,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 2,Žan Baumgartner,"Kano, Dracai of Aether",Win
Žan Baumgartner,"Kano, Dracai of Aether",Round 2,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
Giuseppe Cervone,"Florian, Rotwood Harbinger",Round 2,Angelo Zaccardi,"Cindra, Dracai of Retribution",Loss
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 2,Giuseppe Cervone,"Florian, Rotwood Harbinger",Win
Mirko Dolce,"Azalea, Ace in the Hole",Round 2,Michael Wachouschek,Dash I/O,Win
Michael Wachouschek,Dash I/O,Round 2,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Jaka Burnik,"Cindra, Dracai of Retribution",Round 2,Viet Pham,"Nuu, Alluring Desire",Loss
Viet Pham,"Nuu, Alluring Desire",Round 2,Jaka Burnik,"Cindra, Dracai of Retribution",Win
Tim Dasiukevich,"Riptide, Lurker of the Deep",Round 2,Pablo Pintor,"Nuu, Alluring Desire",Loss
Pablo Pintor,"Nuu, Alluring Desire",Round 2,Tim Dasiukevich,"Riptide, Lurker of the Deep",Win
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 2,Alessandro Berganton,"Florian, Rotwood Harbinger",Win
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 2,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Kacper Mocek,"Ira, Scarlet Revenger",Round 2,Matthew Duggan,"Kano, Dracai of Aether",Loss
Matthew Duggan,"Kano, Dracai of Aether",Round 2,Kacper Mocek,"Ira, Scarlet Revenger",Win
Noah Cagle,"Fang, Dracai of Blades",Round 2,George Melissakis,"Prism, Awakener of Sol",Loss
George Melissakis,"Prism, Awakener of Sol",Round 2,Noah Cagle,"Fang, Dracai of Blades",Win
Diego Paoletti,"Nuu, Alluring Desire",Round 2,Andrea Pizzetti,"Oscilio, Constella Intelligence",Win
Andrea Pizzetti,"Oscilio, Constella Intelligence",Round 2,Diego Paoletti,"Nuu, Alluring Desire",Loss
Tiziano Suran,"Azalea, Ace in the Hole",Round 2,Eugenio Papavero Crusca,Jarl Vetreiði,Win
Eugenio Papavero Crusca,Jarl Vetreiði,Round 2,Tiziano Suran,"Azalea, Ace in the Hole",Loss
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 2,Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Win
Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Round 2,Tommaso Fabbri,"Azalea, Ace in the Hole",Loss
Gabriel Zugna,Kassai of the Golden Sand,Round 2,Emlyn Ingram,"Prism, Awakener of Sol",Loss
Emlyn Ingram,"Prism, Awakener of Sol",Round 2,Gabriel Zugna,Kassai of the Golden Sand,Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 2,Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Win
Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Round 2,Jakub Kouřil,"Prism, Awakener of Sol",Loss
Faustin Falissard,Jarl Vetreiði,Round 2,Federico Lami,"Vynnset, Iron Maiden",Loss
Federico Lami,"Vynnset, Iron Maiden",Round 2,Faustin Falissard,Jarl Vetreiði,Win
Marco Casadio,Dash I/O,Round 2,Liam Holden,"Victor Goldmane, High and Mighty",Win
Liam Holden,"Victor Goldmane, High and Mighty",Round 2,Marco Casadio,Dash I/O,Loss
Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Round 2,Brian Zambelli Tello,"Prism, Awakener of Sol",Win
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 2,Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Loss
Piergiorgio Villani,Kassai of the Golden Sand,Round 2,Stefania Patsou,"Cindra, Dracai of Retribution",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 2,Piergiorgio Villani,Kassai of the Golden Sand,Win
Simone Pagani,"Marlynn, Treasure Hunter",Round 2,Edoardo La Rosa,"Vynnset, Iron Maiden",Loss
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 2,Simone Pagani,"Marlynn, Treasure Hunter",Win
Lorenzo Latino,"Victor Goldmane, High and Mighty",Round 2,Márton Kovács,"Cindra, Dracai of Retribution",Win
Márton Kovács,"Cindra, Dracai of Retribution",Round 2,Lorenzo Latino,"Victor Goldmane, High and Mighty",Loss
Andrei Sebastian Suciu,"Arakni, Marionette",Round 2,Lukasz Bigos,"Puffin, Hightail",Win
Lukasz Bigos,"Puffin, Hightail",Round 2,Andrei Sebastian Suciu,"Arakni, Marionette",Loss
Sebastian Niedzielec,Dorinthea Ironsong,Round 2,Lachlan Maddaford,"Arakni, Marionette",Loss
Lachlan Maddaford,"Arakni, Marionette",Round 2,Sebastian Niedzielec,Dorinthea Ironsong,Win
Adam Tuček,"Nuu, Alluring Desire",Round 2,Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Loss
Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Round 2,Adam Tuček,"Nuu, Alluring Desire",Win
Savinien Castel,"Nuu, Alluring Desire",Round 2,CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Win
CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Round 2,Savinien Castel,"Nuu, Alluring Desire",Loss
Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Round 2,András Kovács,"Azalea, Ace in the Hole",Loss
