Player,Wins,Losses,Win Rate (%),Heroes Used
Adrien Druart,2,4,33.33,"Nuu, Alluring Desire"
Sebastian Niedzielec,4,3,57.14,Dorinthea Ironsong
Flavio Caoduro,3,4,42.86,"Gravy Bones, Shipwrecked Looter"
Faustin Falissard,3,4,42.86,Jarl Vetreiði
Bartosz Dobrowolski,9,3,75.0,"Arakni, Marionette"
Edoardo Galli,3,4,42.86,"Nuu, Alluring Desire"
Lubos Vanicek,8,4,66.67,"Gravy Bones, Shipwrecked Looter"
Jakub Mares,1,3,25.0,"Gravy Bones, Shipwrecked Looter"
Gabriel Zugna,2,4,33.33,Kassai of the Golden Sand
Tilen Blazinšek,4,3,57.14,"Nuu, Alluring Desire"
Freddy Friedrich,3,3,50.0,"Gravy Bones, Shipwrecked Looter"
Ian Zhang,3,4,42.86,"Nuu, Alluring Desire"
Iason Kouvakas,1,4,20.0,"Florian, Rotwood Harbinger"
Adam Tuček,7,5,58.33,"Nuu, Alluring Desire"
Adrian Słowiński,3,3,50.0,"Azalea, Ace in the Hole"
Aurelien Souchet,1,5,16.67,"Verdance, Thorn of the Rose"
Edoardo La Rosa,2,5,28.57,"Vynnset, Iron Maiden"
Giuseppe Cervone,3,4,42.86,"Florian, Rotwood Harbinger"
Jakub Koenner,3,4,42.86,"Prism, Awakener of Sol"
Tiziano Suran,5,6,45.45,"Azalea, Ace in the Hole"
Tore Eskeland,1,5,16.67,"Florian, Rotwood Harbinger"
Matteo Frescucci,3,4,42.86,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Finlay Freir,7,5,58.33,"Vynnset, Iron Maiden"
Simone Sieli,0,3,0.0,"Azalea, Ace in the Hole"
Tiziano Biagetti,3,4,42.86,"Florian, Rotwood Harbinger"
Adrián Marín,2,3,40.0,"Florian, Rotwood Harbinger"
Michaele Teppa,9,3,75.0,"Nuu, Alluring Desire"
Marc Germond,4,3,57.14,"Ira, Scarlet Revenger"
None,0,7,0.0,
